product_id,name,description,price,stock
40,Microphone Premium 40,Produk berkualitas tinggi dengan spesifikasi terbaik untuk kebutuhan bisnis,8982.39,154
7,Monitor Arm Max 7,Produk berkualitas tinggi dengan spesifikasi standar untuk kebutuhan edukasi,13743.30,181
11,Monitor Arm Pro 11,Produk berkualitas tinggi dengan spesifikasi profesional untuk kebutuhan rumah,841.15,491
25,Monitor Arm Professional 25,Produk berkualitas tinggi dengan spesifikasi unggulan untuk kebutuhan rumah,1835.20,243
15,Motherboard Advanced 15,Produk berkualitas tinggi dengan spesifikasi unggulan untuk kebutuhan multimedia,6375.26,312
26,Motherboard Pro 26,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan edukasi,12674.70,355
45,Mouse Advanced 45,Produk berkualitas tinggi dengan spesifikasi profesional untuk kebutuhan kantor,10187.72,50
2,Mouse Plus 2,Produk berkualitas tinggi dengan spesifikasi standar untuk kebutuhan bisnis,12889.68,142
18,Power Supply Standard 18,Produk berkualitas tinggi dengan spesifikasi unggulan untuk kebutuhan kantor,6592.76,284
8,Printer Essential 8,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan bisnis,2161.52,272
21,Processor Professional 21,Produk berkualitas tinggi dengan spesifikasi terbaik untuk kebutuhan rumah,12098.39,276
37,Router Prime 37,Produk berkualitas tinggi dengan spesifikasi premium untuk kebutuhan edukasi,1687.78,266
35,Scanner Ultra 35,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan desain,6264.66,321
3,Smartwatch Basic 3,Produk berkualitas tinggi dengan spesifikasi unggulan untuk kebutuhan profesional,6820.20,200
34,Speaker Elite 34,Produk berkualitas tinggi dengan spesifikasi ekonomis untuk kebutuhan rumah,4050.51,282
22,SSD Pro 22,Produk berkualitas tinggi dengan spesifikasi ekonomis untuk kebutuhan gaming,2192.50,309
4,SSD Professional 4,Produk berkualitas tinggi dengan spesifikasi premium untuk kebutuhan kantor,1725.90,458
20,SSD Super 20,Produk berkualitas tinggi dengan spesifikasi profesional untuk kebutuhan multimedia,7753.96,390
43,Standing Desk Advanced 43,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan profesional,6879.20,60
16,Switch Plus 16,Produk berkualitas tinggi dengan spesifikasi ekonomis untuk kebutuhan multimedia,6702.39,389
29,Tablet Mega 29,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan gaming,8330.50,286
39,Tablet Pro 39,Produk berkualitas tinggi dengan spesifikasi unggulan untuk kebutuhan desain,6719.09,451
32,Tablet Ultra 32,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan rumah,3370.20,285
19,Tripod Plus 19,Produk berkualitas tinggi dengan spesifikasi canggih untuk kebutuhan edukasi,11960.24,494
28,Tripod Pro 28,Produk berkualitas tinggi dengan spesifikasi modern untuk kebutuhan bisnis,12460.25,204
30,UPS Mega 30,Produk berkualitas tinggi dengan spesifikasi standar untuk kebutuhan kantor,2121.72,166
9,USB Hub Mini 9,Produk berkualitas tinggi dengan spesifikasi ekonomis untuk kebutuhan profesional,13956.49,477
23,VGA Card Pro 23,Produk berkualitas tinggi dengan spesifikasi terbaik untuk kebutuhan bisnis,5223.90,161
36,Webcam Mega 36,Produk berkualitas tinggi dengan spesifikasi canggih untuk kebutuhan desain,282.33,321
33,Webcam Premium 33,Produk berkualitas tinggi dengan spesifikasi profesional untuk kebutuhan desain,221.37,417
